id,scheme_slug,document_name,is_mandatory,description
40,mp-ladli-behna-yojana,Aadhaar-Linked Bank Passbook,1,Bank account with active DBT enable status
41,mp-kisan-kalyan-yojana,Khasra Land Ownership Record,1,Official agricultural land record from Patwari / SAARA
42,mp-kisan-kalyan-yojana,Aadhaar Card,1,Identity proof
43,mp-kisan-kalyan-yojana,Bank Passbook,1,Aadhaar-seeded bank account
44,mp-kisan-kalyan-yojana,PM Kisan Registration ID,1,Active PM-Kisan beneficiary registration number
45,mp-medhavi-vidyarthi-yojana,12th Class Marksheet,1,70%+ in MP Board or 85%+ in CBSE/ICSE
46,mp-medhavi-vidyarthi-yojana,MP Domicile Certificate,1,Mool Niwas Praman Patra
47,mp-medhavi-vidyarthi-yojana,Income Certificate,1,Family income certificate issued by Tehsildar
48,mp-medhavi-vidyarthi-yojana,College Admission Allotment Letter,1,Proof of active college enrollment
49,mh-majhi-ladki-bahin,Aadhaar Card,1,Mandatory identity proof
50,mh-majhi-ladki-bahin,Maharashtra Domicile Certificate,1,Domicile / Birth certificate proving 15+ years residency
51,mh-majhi-ladki-bahin,Ration Card (Yellow/Orange),1,Family income classification proof
52,mh-majhi-ladki-bahin,Bank Passbook,1,Aadhaar-seeded bank account
703,assam-solar-krishi-pump-subsidy,Aadhaar Card,1,Official Aadhaar Card for verification
704,assam-solar-krishi-pump-subsidy,Land Revenue Passbook (Khata/Khasra),1,Official Land Revenue Passbook (Khata/Khasra) for verification
705,assam-solar-krishi-pump-subsidy,Bank Passbook,1,Official Bank Passbook for verification
53,mh-namo-shetkari-yojana,7/12 Land Extract,1,Official land ownership record from Maharashtra Revenue Department
54,mh-namo-shetkari-yojana,8-A Holding Extract,1,Khata details of agricultural land
55,mh-namo-shetkari-yojana,Aadhaar Card,1,Identity proof
56,mh-namo-shetkari-yojana,Bank Passbook,1,Aadhaar-seeded bank account
57,ka-gruha-lakshmi-scheme,Ration Card (Antyodaya / BPL / APL),1,Ration card naming applicant as woman head of household
58,ka-gruha-lakshmi-scheme,Aadhaar Card of Woman Head,1,Identity proof
59,ka-gruha-lakshmi-scheme,Aadhaar-Linked Bank Passbook,1,Bank account enabled with NPCI direct debit
60,ka-yuva-nidhi-scheme,Degree / Diploma Certificate & Marksheet,1,Proof of passing degree or diploma
61,ka-yuva-nidhi-scheme,Karnataka Domicile Certificate,1,Residency proof in Karnataka for at least 6 years
62,ka-yuva-nidhi-scheme,Aadhaar Card,1,Identity proof
63,ka-yuva-nidhi-scheme,Unemployment Self-Declaration,1,Declaration of not being employed or self-employed
64,andhra-pradesh-kisan-samriddhi-crop-assistance,Aadhaar Card,1,Official Aadhaar Card for verification
65,andhra-pradesh-kisan-samriddhi-crop-assistance,Land Revenue Passbook (Khata/Khasra),1,Official Land Revenue Passbook (Khata/Khasra) for verification
66,andhra-pradesh-kisan-samriddhi-crop-assistance,Bank Passbook,1,Official Bank Passbook for verification
67,andhra-pradesh-solar-krishi-pump-subsidy,Aadhaar Card,1,Official Aadhaar Card for verification
68,andhra-pradesh-solar-krishi-pump-subsidy,Land Revenue Passbook (Khata/Khasra),1,Official Land Revenue Passbook (Khata/Khasra) for verification
69,andhra-pradesh-solar-krishi-pump-subsidy,Bank Passbook,1,Official Bank Passbook for verification
70,andhra-pradesh-horticulture-drip-irrigation-grant,Aadhaar Card,1,Official Aadhaar Card for verification
71,andhra-pradesh-horticulture-drip-irrigation-grant,Land Revenue Passbook (Khata/Khasra),1,Official Land Revenue Passbook (Khata/Khasra) for verification
72,andhra-pradesh-horticulture-drip-irrigation-grant,Bank Passbook,1,Official Bank Passbook for verification
73,andhra-pradesh-dairy-cattle-development-incentive,Aadhaar Card,1,Official Aadhaar Card for verification
74,andhra-pradesh-dairy-cattle-development-incentive,Land Revenue Passbook (Khata/Khasra),1,Official Land Revenue Passbook (Khata/Khasra) for verification
75,andhra-pradesh-dairy-cattle-development-incentive,Bank Passbook,1,Official Bank Passbook for verification
76,andhra-pradesh-fodder-cultivation-animal-care-grant,Aadhaar Card,1,Official Aadhaar Card for verification
77,andhra-pradesh-fodder-cultivation-animal-care-grant,Land Revenue Passbook (Khata/Khasra),1,Official Land Revenue Passbook (Khata/Khasra) for verification
78,andhra-pradesh-fodder-cultivation-animal-care-grant,Bank Passbook,1,Official Bank Passbook for verification
79,andhra-pradesh-fisheries-pond-biofloc-support,Aadhaar Card,1,Official Aadhaar Card for verification
80,andhra-pradesh-fisheries-pond-biofloc-support,Land Revenue Passbook (Khata/Khasra),1,Official Land Revenue Passbook (Khata/Khasra) for verification
81,andhra-pradesh-fisheries-pond-biofloc-support,Bank Passbook,1,Official Bank Passbook for verification
82,andhra-pradesh-soil-health-organic-farming-mission,Aadhaar Card,1,Official Aadhaar Card for verification
83,andhra-pradesh-soil-health-organic-farming-mission,Land Revenue Passbook (Khata/Khasra),1,Official Land Revenue Passbook (Khata/Khasra) for verification
84,andhra-pradesh-soil-health-organic-farming-mission,Bank Passbook,1,Official Bank Passbook for verification
85,andhra-pradesh-farm-mechanization-rotavator-subsidy,Aadhaar Card,1,Official Aadhaar Card for verification
86,andhra-pradesh-farm-mechanization-rotavator-subsidy,Land Revenue Passbook (Khata/Khasra),1,Official Land Revenue Passbook (Khata/Khasra) for verification
87,andhra-pradesh-farm-mechanization-rotavator-subsidy,Bank Passbook,1,Official Bank Passbook for verification
88,andhra-pradesh-post-matric-merit-scholarship,Aadhaar Card,1,Official Aadhaar Card for verification
89,andhra-pradesh-post-matric-merit-scholarship,Marksheet / Grade Certificate,1,Official Marksheet / Grade Certificate for verification
90,andhra-pradesh-post-matric-merit-scholarship,Income Certificate,1,Official Income Certificate for verification
91,andhra-pradesh-post-matric-merit-scholarship,Bank Passbook,1,Official Bank Passbook for verification
92,andhra-pradesh-free-digital-tablet-laptop-distribution,Aadhaar Card,1,Official Aadhaar Card for verification
93,andhra-pradesh-free-digital-tablet-laptop-distribution,Marksheet / Grade Certificate,1,Official Marksheet / Grade Certificate for verification
94,andhra-pradesh-free-digital-tablet-laptop-distribution,Income Certificate,1,Official Income Certificate for verification
95,andhra-pradesh-free-digital-tablet-laptop-distribution,Bank Passbook,1,Official Bank Passbook for verification
96,andhra-pradesh-competitive-exam-coaching-assistance,Aadhaar Card,1,Official Aadhaar Card for verification
97,andhra-pradesh-competitive-exam-coaching-assistance,Marksheet / Grade Certificate,1,Official Marksheet / Grade Certificate for verification
98,andhra-pradesh-competitive-exam-coaching-assistance,Income Certificate,1,Official Income Certificate for verification
99,andhra-pradesh-competitive-exam-coaching-assistance,Bank Passbook,1,Official Bank Passbook for verification
100,andhra-pradesh-girl-child-higher-education-incentive,Aadhaar Card,1,Official Aadhaar Card for verification
101,andhra-pradesh-girl-child-higher-education-incentive,Marksheet / Grade Certificate,1,Official Marksheet / Grade Certificate for verification
102,andhra-pradesh-girl-child-higher-education-incentive,Income Certificate,1,Official Income Certificate for verification
103,andhra-pradesh-girl-child-higher-education-incentive,Bank Passbook,1,Official Bank Passbook for verification
104,andhra-pradesh-technical-polytechnic-skill-stipend,Aadhaar Card,1,Official Aadhaar Card for verification
105,andhra-pradesh-technical-polytechnic-skill-stipend,Marksheet / Grade Certificate,1,Official Marksheet / Grade Certificate for verification
106,andhra-pradesh-technical-polytechnic-skill-stipend,Income Certificate,1,Official Income Certificate for verification
107,andhra-pradesh-technical-polytechnic-skill-stipend,Bank Passbook,1,Official Bank Passbook for verification
108,andhra-pradesh-overseas-education-scholarship-for-ews,Aadhaar Card,1,Official Aadhaar Card for verification
109,andhra-pradesh-overseas-education-scholarship-for-ews,Marksheet / Grade Certificate,1,Official Marksheet / Grade Certificate for verification
110,andhra-pradesh-overseas-education-scholarship-for-ews,Income Certificate,1,Official Income Certificate for verification
111,andhra-pradesh-overseas-education-scholarship-for-ews,Bank Passbook,1,Official Bank Passbook for verification
112,andhra-pradesh-special-education-aid-for-divyang-students,Aadhaar Card,1,Official Aadhaar Card for verification
113,andhra-pradesh-special-education-aid-for-divyang-students,Marksheet / Grade Certificate,1,Official Marksheet / Grade Certificate for verification
114,andhra-pradesh-special-education-aid-for-divyang-students,Income Certificate,1,Official Income Certificate for verification
115,andhra-pradesh-special-education-aid-for-divyang-students,Bank Passbook,1,Official Bank Passbook for verification
116,andhra-pradesh-matru-kalyan-nutrition-dbt,Aadhaar Card,1,Official Aadhaar Card for verification
117,andhra-pradesh-matru-kalyan-nutrition-dbt,Ration Card,1,Official Ration Card for verification
118,andhra-pradesh-matru-kalyan-nutrition-dbt,Bank Passbook,1,Official Bank Passbook for verification
119,andhra-pradesh-matru-kalyan-nutrition-dbt,Income Certificate,0,Official Income Certificate for verification
120,andhra-pradesh-mahila-swavalamban-livelihood-grant,Aadhaar Card,1,Official Aadhaar Card for verification
121,andhra-pradesh-mahila-swavalamban-livelihood-grant,Ration Card,1,Official Ration Card for verification
122,andhra-pradesh-mahila-swavalamban-livelihood-grant,Bank Passbook,1,Official Bank Passbook for verification
123,andhra-pradesh-mahila-swavalamban-livelihood-grant,Income Certificate,0,Official Income Certificate for verification
124,andhra-pradesh-kanya-vivah-marriage-assistance,Aadhaar Card,1,Official Aadhaar Card for verification
125,andhra-pradesh-kanya-vivah-marriage-assistance,Ration Card,1,Official Ration Card for verification
126,andhra-pradesh-kanya-vivah-marriage-assistance,Bank Passbook,1,Official Bank Passbook for verification
127,andhra-pradesh-kanya-vivah-marriage-assistance,Income Certificate,0,Official Income Certificate for verification
128,andhra-pradesh-working-women-hostel-transport-subsidy,Aadhaar Card,1,Official Aadhaar Card for verification
129,andhra-pradesh-working-women-hostel-transport-subsidy,Ration Card,1,Official Ration Card for verification
130,andhra-pradesh-working-women-hostel-transport-subsidy,Bank Passbook,1,Official Bank Passbook for verification
131,andhra-pradesh-working-women-hostel-transport-subsidy,Income Certificate,0,Official Income Certificate for verification
132,andhra-pradesh-single-mother-destitute-women-pension,Aadhaar Card,1,Official Aadhaar Card for verification
133,andhra-pradesh-single-mother-destitute-women-pension,Ration Card,1,Official Ration Card for verification
134,andhra-pradesh-single-mother-destitute-women-pension,Bank Passbook,1,Official Bank Passbook for verification
135,andhra-pradesh-single-mother-destitute-women-pension,Income Certificate,0,Official Income Certificate for verification
136,andhra-pradesh-sukanya-samriddhi-high-interest-top-up,Aadhaar Card,1,Official Aadhaar Card for verification
137,andhra-pradesh-sukanya-samriddhi-high-interest-top-up,Ration Card,1,Official Ration Card for verification
138,andhra-pradesh-sukanya-samriddhi-high-interest-top-up,Bank Passbook,1,Official Bank Passbook for verification
139,andhra-pradesh-sukanya-samriddhi-high-interest-top-up,Income Certificate,0,Official Income Certificate for verification
140,andhra-pradesh-universal-cashless-health-insurance,Aadhaar Card,1,Official Aadhaar Card for verification
141,andhra-pradesh-universal-cashless-health-insurance,Ration Card / Health Card,1,Official Ration Card / Health Card for verification
142,andhra-pradesh-universal-cashless-health-insurance,Medical Prescription,1,Official Medical Prescription for verification
143,andhra-pradesh-critical-illness-relief-fund-cancer-kidney,Aadhaar Card,1,Official Aadhaar Card for verification
144,andhra-pradesh-critical-illness-relief-fund-cancer-kidney,Ration Card / Health Card,1,Official Ration Card / Health Card for verification
145,andhra-pradesh-critical-illness-relief-fund-cancer-kidney,Medical Prescription,1,Official Medical Prescription for verification
146,andhra-pradesh-free-diagnostic-tests-medicine-scheme,Aadhaar Card,1,Official Aadhaar Card for verification
147,andhra-pradesh-free-diagnostic-tests-medicine-scheme,Ration Card / Health Card,1,Official Ration Card / Health Card for verification
148,andhra-pradesh-free-diagnostic-tests-medicine-scheme,Medical Prescription,1,Official Medical Prescription for verification
149,andhra-pradesh-senior-citizen-specialized-geriatric-care,Aadhaar Card,1,Official Aadhaar Card for verification
150,andhra-pradesh-senior-citizen-specialized-geriatric-care,Ration Card / Health Card,1,Official Ration Card / Health Card for verification
151,andhra-pradesh-senior-citizen-specialized-geriatric-care,Medical Prescription,1,Official Medical Prescription for verification
152,andhra-pradesh-emergency-accidental-trauma-insurance,Aadhaar Card,1,Official Aadhaar Card for verification
153,andhra-pradesh-emergency-accidental-trauma-insurance,Ration Card / Health Card,1,Official Ration Card / Health Card for verification
154,andhra-pradesh-emergency-accidental-trauma-insurance,Medical Prescription,1,Official Medical Prescription for verification
155,andhra-pradesh-old-age-social-security-pension,Aadhaar Card,1,Official Aadhaar Card for verification
156,andhra-pradesh-old-age-social-security-pension,Income Certificate,1,Official Income Certificate for verification
157,andhra-pradesh-old-age-social-security-pension,Bank Passbook,1,Official Bank Passbook for verification
158,andhra-pradesh-old-age-social-security-pension,Disability/Caste Certificate,0,Official Disability/Caste Certificate for verification
159,andhra-pradesh-divyangjan-disability-monthly-pension,Aadhaar Card,1,Official Aadhaar Card for verification
160,andhra-pradesh-divyangjan-disability-monthly-pension,Income Certificate,1,Official Income Certificate for verification
161,andhra-pradesh-divyangjan-disability-monthly-pension,Bank Passbook,1,Official Bank Passbook for verification
162,andhra-pradesh-divyangjan-disability-monthly-pension,Disability/Caste Certificate,0,Official Disability/Caste Certificate for verification
163,andhra-pradesh-antyodaya-subsidized-food-security,Aadhaar Card,1,Official Aadhaar Card for verification
164,andhra-pradesh-antyodaya-subsidized-food-security,Income Certificate,1,Official Income Certificate for verification
165,andhra-pradesh-antyodaya-subsidized-food-security,Bank Passbook,1,Official Bank Passbook for verification
166,andhra-pradesh-antyodaya-subsidized-food-security,Disability/Caste Certificate,0,Official Disability/Caste Certificate for verification
167,andhra-pradesh-sanitation-workers-rehabilitation-grant,Aadhaar Card,1,Official Aadhaar Card for verification
168,andhra-pradesh-sanitation-workers-rehabilitation-grant,Income Certificate,1,Official Income Certificate for verification
169,andhra-pradesh-sanitation-workers-rehabilitation-grant,Bank Passbook,1,Official Bank Passbook for verification
170,andhra-pradesh-sanitation-workers-rehabilitation-grant,Disability/Caste Certificate,0,Official Disability/Caste Certificate for verification
171,andhra-pradesh-tribal-livelihood-forest-produce-grant,Aadhaar Card,1,Official Aadhaar Card for verification
172,andhra-pradesh-tribal-livelihood-forest-produce-grant,Income Certificate,1,Official Income Certificate for verification
173,andhra-pradesh-tribal-livelihood-forest-produce-grant,Bank Passbook,1,Official Bank Passbook for verification
174,andhra-pradesh-tribal-livelihood-forest-produce-grant,Disability/Caste Certificate,0,Official Disability/Caste Certificate for verification
175,andhra-pradesh-youth-apprenticeship-monthly-stipend,Aadhaar Card,1,Official Aadhaar Card for verification
176,andhra-pradesh-youth-apprenticeship-monthly-stipend,Educational Qualification Certificate,1,Official Educational Qualification Certificate for verification
177,andhra-pradesh-youth-apprenticeship-monthly-stipend,Bank Passbook,1,Official Bank Passbook for verification
178,andhra-pradesh-artisan-craftsman-modern-tool-kit-grant,Aadhaar Card,1,Official Aadhaar Card for verification
179,andhra-pradesh-artisan-craftsman-modern-tool-kit-grant,Educational Qualification Certificate,1,Official Educational Qualification Certificate for verification
180,andhra-pradesh-artisan-craftsman-modern-tool-kit-grant,Bank Passbook,1,Official Bank Passbook for verification
181,andhra-pradesh-rural-youth-driving-heavy-machinery-training,Aadhaar Card,1,Official Aadhaar Card for verification
182,andhra-pradesh-rural-youth-driving-heavy-machinery-training,Educational Qualification Certificate,1,Official Educational Qualification Certificate for verification
183,andhra-pradesh-rural-youth-driving-heavy-machinery-training,Bank Passbook,1,Official Bank Passbook for verification
184,andhra-pradesh-it-emerging-tech-bootcamp-voucher,Aadhaar Card,1,Official Aadhaar Card for verification
185,andhra-pradesh-it-emerging-tech-bootcamp-voucher,Educational Qualification Certificate,1,Official Educational Qualification Certificate for verification
186,andhra-pradesh-it-emerging-tech-bootcamp-voucher,Bank Passbook,1,Official Bank Passbook for verification
187,andhra-pradesh-self-employment-micro-credit-guarantee,Aadhaar Card,1,Official Aadhaar Card for verification
188,andhra-pradesh-self-employment-micro-credit-guarantee,Educational Qualification Certificate,1,Official Educational Qualification Certificate for verification
189,andhra-pradesh-self-employment-micro-credit-guarantee,Bank Passbook,1,Official Bank Passbook for verification
190,andhra-pradesh-pucca-house-construction-subsidy,Aadhaar Card,1,Official Aadhaar Card for verification
191,andhra-pradesh-pucca-house-construction-subsidy,Land Possession Certificate,1,Official Land Possession Certificate for verification
192,andhra-pradesh-pucca-house-construction-subsidy,Income Certificate,1,Official Income Certificate for verification
193,andhra-pradesh-pucca-house-construction-subsidy,Bank Passbook,1,Official Bank Passbook for verification
194,andhra-pradesh-rooftop-solar-green-energy-assistance,Aadhaar Card,1,Official Aadhaar Card for verification
195,andhra-pradesh-rooftop-solar-green-energy-assistance,Land Possession Certificate,1,Official Land Possession Certificate for verification
196,andhra-pradesh-rooftop-solar-green-energy-assistance,Income Certificate,1,Official Income Certificate for verification
197,andhra-pradesh-rooftop-solar-green-energy-assistance,Bank Passbook,1,Official Bank Passbook for verification
198,andhra-pradesh-slum-rehabilitation-ews-flat-allocation,Aadhaar Card,1,Official Aadhaar Card for verification
199,andhra-pradesh-slum-rehabilitation-ews-flat-allocation,Land Possession Certificate,1,Official Land Possession Certificate for verification
200,andhra-pradesh-slum-rehabilitation-ews-flat-allocation,Income Certificate,1,Official Income Certificate for verification
201,andhra-pradesh-slum-rehabilitation-ews-flat-allocation,Bank Passbook,1,Official Bank Passbook for verification
202,andhra-pradesh-rural-toilet-water-tap-incentive,Aadhaar Card,1,Official Aadhaar Card for verification
203,andhra-pradesh-rural-toilet-water-tap-incentive,Land Possession Certificate,1,Official Land Possession Certificate for verification
204,andhra-pradesh-rural-toilet-water-tap-incentive,Income Certificate,1,Official Income Certificate for verification
205,andhra-pradesh-rural-toilet-water-tap-incentive,Bank Passbook,1,Official Bank Passbook for verification
206,andhra-pradesh-micro-enterprise-collateral-free-loan,Udyam Registration Certificate,1,Official Udyam Registration Certificate for verification
207,andhra-pradesh-micro-enterprise-collateral-free-loan,PAN Card,1,Official PAN Card for verification
208,andhra-pradesh-micro-enterprise-collateral-free-loan,Aadhaar Card,1,Official Aadhaar Card for verification
209,andhra-pradesh-micro-enterprise-collateral-free-loan,Bank Account Statement,1,Official Bank Account Statement for verification
210,andhra-pradesh-women-entrepreneur-startup-grant,Udyam Registration Certificate,1,Official Udyam Registration Certificate for verification
211,andhra-pradesh-women-entrepreneur-startup-grant,PAN Card,1,Official PAN Card for verification
212,andhra-pradesh-women-entrepreneur-startup-grant,Aadhaar Card,1,Official Aadhaar Card for verification
213,andhra-pradesh-women-entrepreneur-startup-grant,Bank Account Statement,1,Official Bank Account Statement for verification
214,andhra-pradesh-export-promotion-quality-certification-subsidy,Udyam Registration Certificate,1,Official Udyam Registration Certificate for verification
215,andhra-pradesh-export-promotion-quality-certification-subsidy,PAN Card,1,Official PAN Card for verification
216,andhra-pradesh-export-promotion-quality-certification-subsidy,Aadhaar Card,1,Official Aadhaar Card for verification
217,andhra-pradesh-export-promotion-quality-certification-subsidy,Bank Account Statement,1,Official Bank Account Statement for verification
218,andhra-pradesh-credit-linked-capital-subsidy-for-tech-upgradation,Udyam Registration Certificate,1,Official Udyam Registration Certificate for verification
219,andhra-pradesh-credit-linked-capital-subsidy-for-tech-upgradation,PAN Card,1,Official PAN Card for verification
220,andhra-pradesh-credit-linked-capital-subsidy-for-tech-upgradation,Aadhaar Card,1,Official Aadhaar Card for verification
221,andhra-pradesh-credit-linked-capital-subsidy-for-tech-upgradation,Bank Account Statement,1,Official Bank Account Statement for verification
222,andhra-pradesh-e-vehicle-green-mobility-subsidy,Aadhaar Card,1,Official Aadhaar Card for verification
223,andhra-pradesh-e-vehicle-green-mobility-subsidy,Electricity / Property Bill,1,Official Electricity / Property Bill for verification
224,andhra-pradesh-e-vehicle-green-mobility-subsidy,Bank Passbook,1,Official Bank Passbook for verification
225,andhra-pradesh-rainwater-harvesting-ground-water-recharge-grant,Aadhaar Card,1,Official Aadhaar Card for verification
226,andhra-pradesh-rainwater-harvesting-ground-water-recharge-grant,Electricity / Property Bill,1,Official Electricity / Property Bill for verification
227,andhra-pradesh-rainwater-harvesting-ground-water-recharge-grant,Bank Passbook,1,Official Bank Passbook for verification
228,andhra-pradesh-bio-gas-cattle-dung-renewable-plant-subsidy,Aadhaar Card,1,Official Aadhaar Card for verification
229,andhra-pradesh-bio-gas-cattle-dung-renewable-plant-subsidy,Electricity / Property Bill,1,Official Electricity / Property Bill for verification
230,andhra-pradesh-bio-gas-cattle-dung-renewable-plant-subsidy,Bank Passbook,1,Official Bank Passbook for verification
231,andhra-pradesh-phase-2-kisan-samriddhi-crop-assistance,Aadhaar Card,1,Official Aadhaar Card for verification
232,andhra-pradesh-phase-2-kisan-samriddhi-crop-assistance,Land Revenue Passbook (Khata/Khasra),1,Official Land Revenue Passbook (Khata/Khasra) for verification
233,andhra-pradesh-phase-2-kisan-samriddhi-crop-assistance,Bank Passbook,1,Official Bank Passbook for verification
234,andhra-pradesh-phase-2-solar-krishi-pump-subsidy,Aadhaar Card,1,Official Aadhaar Card for verification
235,andhra-pradesh-phase-2-solar-krishi-pump-subsidy,Land Revenue Passbook (Khata/Khasra),1,Official Land Revenue Passbook (Khata/Khasra) for verification
236,andhra-pradesh-phase-2-solar-krishi-pump-subsidy,Bank Passbook,1,Official Bank Passbook for verification
237,andhra-pradesh-phase-2-horticulture-drip-irrigation-grant,Aadhaar Card,1,Official Aadhaar Card for verification
238,andhra-pradesh-phase-2-horticulture-drip-irrigation-grant,Land Revenue Passbook (Khata/Khasra),1,Official Land Revenue Passbook (Khata/Khasra) for verification
239,andhra-pradesh-phase-2-horticulture-drip-irrigation-grant,Bank Passbook,1,Official Bank Passbook for verification
240,andhra-pradesh-phase-2-dairy-cattle-development-incentive,Aadhaar Card,1,Official Aadhaar Card for verification
241,andhra-pradesh-phase-2-dairy-cattle-development-incentive,Land Revenue Passbook (Khata/Khasra),1,Official Land Revenue Passbook (Khata/Khasra) for verification
242,andhra-pradesh-phase-2-dairy-cattle-development-incentive,Bank Passbook,1,Official Bank Passbook for verification
243,andhra-pradesh-phase-2-fodder-cultivation-animal-care-grant,Aadhaar Card,1,Official Aadhaar Card for verification
244,andhra-pradesh-phase-2-fodder-cultivation-animal-care-grant,Land Revenue Passbook (Khata/Khasra),1,Official Land Revenue Passbook (Khata/Khasra) for verification
245,andhra-pradesh-phase-2-fodder-cultivation-animal-care-grant,Bank Passbook,1,Official Bank Passbook for verification
246,andhra-pradesh-phase-2-fisheries-pond-biofloc-support,Aadhaar Card,1,Official Aadhaar Card for verification
247,andhra-pradesh-phase-2-fisheries-pond-biofloc-support,Land Revenue Passbook (Khata/Khasra),1,Official Land Revenue Passbook (Khata/Khasra) for verification
248,andhra-pradesh-phase-2-fisheries-pond-biofloc-support,Bank Passbook,1,Official Bank Passbook for verification
249,andhra-pradesh-phase-2-soil-health-organic-farming-mission,Aadhaar Card,1,Official Aadhaar Card for verification
250,andhra-pradesh-phase-2-soil-health-organic-farming-mission,Land Revenue Passbook (Khata/Khasra),1,Official Land Revenue Passbook (Khata/Khasra) for verification
251,andhra-pradesh-phase-2-soil-health-organic-farming-mission,Bank Passbook,1,Official Bank Passbook for verification
252,andhra-pradesh-phase-2-farm-mechanization-rotavator-subsidy,Aadhaar Card,1,Official Aadhaar Card for verification
253,andhra-pradesh-phase-2-farm-mechanization-rotavator-subsidy,Land Revenue Passbook (Khata/Khasra),1,Official Land Revenue Passbook (Khata/Khasra) for verification
254,andhra-pradesh-phase-2-farm-mechanization-rotavator-subsidy,Bank Passbook,1,Official Bank Passbook for verification
255,andhra-pradesh-phase-2-post-matric-merit-scholarship,Aadhaar Card,1,Official Aadhaar Card for verification
256,andhra-pradesh-phase-2-post-matric-merit-scholarship,Marksheet / Grade Certificate,1,Official Marksheet / Grade Certificate for verification
257,andhra-pradesh-phase-2-post-matric-merit-scholarship,Income Certificate,1,Official Income Certificate for verification
258,andhra-pradesh-phase-2-post-matric-merit-scholarship,Bank Passbook,1,Official Bank Passbook for verification
259,andhra-pradesh-phase-2-free-digital-tablet-laptop-distribution,Aadhaar Card,1,Official Aadhaar Card for verification
260,andhra-pradesh-phase-2-free-digital-tablet-laptop-distribution,Marksheet / Grade Certificate,1,Official Marksheet / Grade Certificate for verification
261,andhra-pradesh-phase-2-free-digital-tablet-laptop-distribution,Income Certificate,1,Official Income Certificate for verification
262,andhra-pradesh-phase-2-free-digital-tablet-laptop-distribution,Bank Passbook,1,Official Bank Passbook for verification
263,andhra-pradesh-phase-2-competitive-exam-coaching-assistance,Aadhaar Card,1,Official Aadhaar Card for verification
264,andhra-pradesh-phase-2-competitive-exam-coaching-assistance,Marksheet / Grade Certificate,1,Official Marksheet / Grade Certificate for verification
265,andhra-pradesh-phase-2-competitive-exam-coaching-assistance,Income Certificate,1,Official Income Certificate for verification
266,andhra-pradesh-phase-2-competitive-exam-coaching-assistance,Bank Passbook,1,Official Bank Passbook for verification
267,andhra-pradesh-phase-2-girl-child-higher-education-incentive,Aadhaar Card,1,Official Aadhaar Card for verification
268,andhra-pradesh-phase-2-girl-child-higher-education-incentive,Marksheet / Grade Certificate,1,Official Marksheet / Grade Certificate for verification
