id,scheme_slug,field_name,operator,rule_value,description
79,andhra-pradesh-girl-child-higher-education-incentive,gender,eq,Female,Citizen gender must be eq 'Female'
80,andhra-pradesh-technical-polytechnic-skill-stipend,state,eq,Andhra Pradesh,Citizen state must be eq 'Andhra Pradesh'
81,andhra-pradesh-technical-polytechnic-skill-stipend,occupation,eq,Student,Citizen occupation must be eq 'Student'
82,andhra-pradesh-technical-polytechnic-skill-stipend,annual_income,lte,300000,Citizen annual_income must be lte '300000'
83,andhra-pradesh-overseas-education-scholarship-for-ews,state,eq,Andhra Pradesh,Citizen state must be eq 'Andhra Pradesh'
84,andhra-pradesh-overseas-education-scholarship-for-ews,occupation,eq,Student,Citizen occupation must be eq 'Student'
85,andhra-pradesh-overseas-education-scholarship-for-ews,annual_income,lte,800000,Citizen annual_income must be lte '800000'
86,andhra-pradesh-special-education-aid-for-divyang-students,state,eq,Andhra Pradesh,Citizen state must be eq 'Andhra Pradesh'
87,andhra-pradesh-special-education-aid-for-divyang-students,occupation,eq,Student,Citizen occupation must be eq 'Student'
88,andhra-pradesh-special-education-aid-for-divyang-students,annual_income,lte,350000,Citizen annual_income must be lte '350000'
89,andhra-pradesh-matru-kalyan-nutrition-dbt,state,eq,Andhra Pradesh,Citizen state must be eq 'Andhra Pradesh'
90,andhra-pradesh-matru-kalyan-nutrition-dbt,gender,eq,Female,Citizen gender must be eq 'Female'
91,andhra-pradesh-mahila-swavalamban-livelihood-grant,state,eq,Andhra Pradesh,Citizen state must be eq 'Andhra Pradesh'
92,andhra-pradesh-mahila-swavalamban-livelihood-grant,gender,eq,Female,Citizen gender must be eq 'Female'
93,andhra-pradesh-kanya-vivah-marriage-assistance,state,eq,Andhra Pradesh,Citizen state must be eq 'Andhra Pradesh'
94,andhra-pradesh-kanya-vivah-marriage-assistance,gender,eq,Female,Citizen gender must be eq 'Female'
95,andhra-pradesh-working-women-hostel-transport-subsidy,state,eq,Andhra Pradesh,Citizen state must be eq 'Andhra Pradesh'
96,andhra-pradesh-working-women-hostel-transport-subsidy,gender,eq,Female,Citizen gender must be eq 'Female'
97,andhra-pradesh-single-mother-destitute-women-pension,state,eq,Andhra Pradesh,Citizen state must be eq 'Andhra Pradesh'
98,andhra-pradesh-single-mother-destitute-women-pension,gender,eq,Female,Citizen gender must be eq 'Female'
99,andhra-pradesh-sukanya-samriddhi-high-interest-top-up,state,eq,Andhra Pradesh,Citizen state must be eq 'Andhra Pradesh'
100,andhra-pradesh-sukanya-samriddhi-high-interest-top-up,gender,eq,Female,Citizen gender must be eq 'Female'
101,andhra-pradesh-universal-cashless-health-insurance,state,eq,Andhra Pradesh,Citizen state must be eq 'Andhra Pradesh'
102,andhra-pradesh-universal-cashless-health-insurance,annual_income,lte,500000,Citizen annual_income must be lte '500000'
103,andhra-pradesh-critical-illness-relief-fund-cancer-kidney,state,eq,Andhra Pradesh,Citizen state must be eq 'Andhra Pradesh'
104,andhra-pradesh-critical-illness-relief-fund-cancer-kidney,annual_income,lte,300000,Citizen annual_income must be lte '300000'
105,andhra-pradesh-free-diagnostic-tests-medicine-scheme,state,eq,Andhra Pradesh,Citizen state must be eq 'Andhra Pradesh'
106,andhra-pradesh-free-diagnostic-tests-medicine-scheme,annual_income,lte,400000,Citizen annual_income must be lte '400000'
107,andhra-pradesh-senior-citizen-specialized-geriatric-care,state,eq,Andhra Pradesh,Citizen state must be eq 'Andhra Pradesh'
108,andhra-pradesh-senior-citizen-specialized-geriatric-care,age,gte,60,Citizen age must be gte '60'
109,andhra-pradesh-emergency-accidental-trauma-insurance,state,eq,Andhra Pradesh,Citizen state must be eq 'Andhra Pradesh'
110,andhra-pradesh-emergency-accidental-trauma-insurance,annual_income,lte,600000,Citizen annual_income must be lte '600000'
111,andhra-pradesh-old-age-social-security-pension,state,eq,Andhra Pradesh,Citizen state must be eq 'Andhra Pradesh'
112,andhra-pradesh-old-age-social-security-pension,age,gte,60,Citizen age must be gte '60'
113,andhra-pradesh-divyangjan-disability-monthly-pension,state,eq,Andhra Pradesh,Citizen state must be eq 'Andhra Pradesh'
114,andhra-pradesh-divyangjan-disability-monthly-pension,annual_income,lte,250000,Citizen annual_income must be lte '250000'
115,andhra-pradesh-antyodaya-subsidized-food-security,state,eq,Andhra Pradesh,Citizen state must be eq 'Andhra Pradesh'
116,andhra-pradesh-antyodaya-subsidized-food-security,annual_income,lte,100000,Citizen annual_income must be lte '100000'
117,andhra-pradesh-sanitation-workers-rehabilitation-grant,state,eq,Andhra Pradesh,Citizen state must be eq 'Andhra Pradesh'
118,andhra-pradesh-sanitation-workers-rehabilitation-grant,occupation,eq,Daily Wage,Citizen occupation must be eq 'Daily Wage'
119,andhra-pradesh-sanitation-workers-rehabilitation-grant,annual_income,lte,200000,Citizen annual_income must be lte '200000'
120,andhra-pradesh-tribal-livelihood-forest-produce-grant,state,eq,Andhra Pradesh,Citizen state must be eq 'Andhra Pradesh'
121,andhra-pradesh-tribal-livelihood-forest-produce-grant,occupation,eq,Artisan,Citizen occupation must be eq 'Artisan'
122,andhra-pradesh-tribal-livelihood-forest-produce-grant,annual_income,lte,250000,Citizen annual_income must be lte '250000'
123,andhra-pradesh-youth-apprenticeship-monthly-stipend,state,eq,Andhra Pradesh,Citizen state must be eq 'Andhra Pradesh'
124,andhra-pradesh-youth-apprenticeship-monthly-stipend,occupation,eq,Unemployed,Citizen occupation must be eq 'Unemployed'
125,andhra-pradesh-youth-apprenticeship-monthly-stipend,age,between,18-29,Citizen age must be between '18-29'
126,andhra-pradesh-artisan-craftsman-modern-tool-kit-grant,state,eq,Andhra Pradesh,Citizen state must be eq 'Andhra Pradesh'
127,andhra-pradesh-artisan-craftsman-modern-tool-kit-grant,occupation,eq,Artisan,Citizen occupation must be eq 'Artisan'
128,andhra-pradesh-artisan-craftsman-modern-tool-kit-grant,annual_income,lte,300000,Citizen annual_income must be lte '300000'
129,andhra-pradesh-rural-youth-driving-heavy-machinery-training,state,eq,Andhra Pradesh,Citizen state must be eq 'Andhra Pradesh'
130,andhra-pradesh-rural-youth-driving-heavy-machinery-training,occupation,eq,Unemployed,Citizen occupation must be eq 'Unemployed'
131,andhra-pradesh-rural-youth-driving-heavy-machinery-training,age,between,18-35,Citizen age must be between '18-35'
132,andhra-pradesh-it-emerging-tech-bootcamp-voucher,state,eq,Andhra Pradesh,Citizen state must be eq 'Andhra Pradesh'
133,andhra-pradesh-it-emerging-tech-bootcamp-voucher,occupation,eq,Student,Citizen occupation must be eq 'Student'
134,andhra-pradesh-it-emerging-tech-bootcamp-voucher,annual_income,lte,500000,Citizen annual_income must be lte '500000'
135,andhra-pradesh-self-employment-micro-credit-guarantee,state,eq,Andhra Pradesh,Citizen state must be eq 'Andhra Pradesh'
136,andhra-pradesh-self-employment-micro-credit-guarantee,occupation,eq,Self-Employed,Citizen occupation must be eq 'Self-Employed'
137,andhra-pradesh-self-employment-micro-credit-guarantee,annual_income,lte,400000,Citizen annual_income must be lte '400000'
138,andhra-pradesh-pucca-house-construction-subsidy,state,eq,Andhra Pradesh,Citizen state must be eq 'Andhra Pradesh'
139,andhra-pradesh-pucca-house-construction-subsidy,annual_income,lte,250000,Citizen annual_income must be lte '250000'
140,andhra-pradesh-rooftop-solar-green-energy-assistance,state,eq,Andhra Pradesh,Citizen state must be eq 'Andhra Pradesh'
141,andhra-pradesh-rooftop-solar-green-energy-assistance,annual_income,lte,600000,Citizen annual_income must be lte '600000'
142,andhra-pradesh-slum-rehabilitation-ews-flat-allocation,state,eq,Andhra Pradesh,Citizen state must be eq 'Andhra Pradesh'
143,andhra-pradesh-slum-rehabilitation-ews-flat-allocation,annual_income,lte,200000,Citizen annual_income must be lte '200000'
144,andhra-pradesh-rural-toilet-water-tap-incentive,state,eq,Andhra Pradesh,Citizen state must be eq 'Andhra Pradesh'
145,andhra-pradesh-rural-toilet-water-tap-incentive,annual_income,lte,200000,Citizen annual_income must be lte '200000'
146,andhra-pradesh-micro-enterprise-collateral-free-loan,state,eq,Andhra Pradesh,Citizen state must be eq 'Andhra Pradesh'
147,andhra-pradesh-micro-enterprise-collateral-free-loan,occupation,eq,Business,Citizen occupation must be eq 'Business'
148,andhra-pradesh-micro-enterprise-collateral-free-loan,annual_income,lte,800000,Citizen annual_income must be lte '800000'
149,andhra-pradesh-women-entrepreneur-startup-grant,state,eq,Andhra Pradesh,Citizen state must be eq 'Andhra Pradesh'
150,andhra-pradesh-women-entrepreneur-startup-grant,occupation,eq,Business,Citizen occupation must be eq 'Business'
151,andhra-pradesh-women-entrepreneur-startup-grant,gender,eq,Female,Citizen gender must be eq 'Female'
152,andhra-pradesh-export-promotion-quality-certification-subsidy,state,eq,Andhra Pradesh,Citizen state must be eq 'Andhra Pradesh'
153,andhra-pradesh-export-promotion-quality-certification-subsidy,occupation,eq,Business,Citizen occupation must be eq 'Business'
154,andhra-pradesh-export-promotion-quality-certification-subsidy,occupation,eq,Business,Citizen occupation must be eq 'Business'
155,andhra-pradesh-credit-linked-capital-subsidy-for-tech-upgradation,state,eq,Andhra Pradesh,Citizen state must be eq 'Andhra Pradesh'
156,andhra-pradesh-credit-linked-capital-subsidy-for-tech-upgradation,occupation,eq,Business,Citizen occupation must be eq 'Business'
157,andhra-pradesh-credit-linked-capital-subsidy-for-tech-upgradation,annual_income,lte,1000000,Citizen annual_income must be lte '1000000'
158,andhra-pradesh-e-vehicle-green-mobility-subsidy,state,eq,Andhra Pradesh,Citizen state must be eq 'Andhra Pradesh'
159,andhra-pradesh-e-vehicle-green-mobility-subsidy,annual_income,lte,750000,Citizen annual_income must be lte '750000'
160,andhra-pradesh-rainwater-harvesting-ground-water-recharge-grant,state,eq,Andhra Pradesh,Citizen state must be eq 'Andhra Pradesh'
161,andhra-pradesh-rainwater-harvesting-ground-water-recharge-grant,annual_income,lte,500000,Citizen annual_income must be lte '500000'
162,andhra-pradesh-bio-gas-cattle-dung-renewable-plant-subsidy,state,eq,Andhra Pradesh,Citizen state must be eq 'Andhra Pradesh'
163,andhra-pradesh-bio-gas-cattle-dung-renewable-plant-subsidy,occupation,eq,Farmer,Citizen occupation must be eq 'Farmer'
164,andhra-pradesh-bio-gas-cattle-dung-renewable-plant-subsidy,annual_income,lte,400000,Citizen annual_income must be lte '400000'
165,andhra-pradesh-phase-2-kisan-samriddhi-crop-assistance,state,eq,Andhra Pradesh,Citizen state must be eq 'Andhra Pradesh'
166,andhra-pradesh-phase-2-kisan-samriddhi-crop-assistance,occupation,eq,Farmer,Citizen occupation must be eq 'Farmer'
167,andhra-pradesh-phase-2-kisan-samriddhi-crop-assistance,annual_income,lte,300000,Citizen annual_income must be lte '300000'
168,andhra-pradesh-phase-2-solar-krishi-pump-subsidy,state,eq,Andhra Pradesh,Citizen state must be eq 'Andhra Pradesh'
169,andhra-pradesh-phase-2-solar-krishi-pump-subsidy,occupation,eq,Farmer,Citizen occupation must be eq 'Farmer'
170,andhra-pradesh-phase-2-solar-krishi-pump-subsidy,annual_income,lte,500000,Citizen annual_income must be lte '500000'
171,andhra-pradesh-phase-2-horticulture-drip-irrigation-grant,state,eq,Andhra Pradesh,Citizen state must be eq 'Andhra Pradesh'
172,andhra-pradesh-phase-2-horticulture-drip-irrigation-grant,occupation,eq,Farmer,Citizen occupation must be eq 'Farmer'
173,andhra-pradesh-phase-2-horticulture-drip-irrigation-grant,annual_income,lte,400000,Citizen annual_income must be lte '400000'
174,andhra-pradesh-phase-2-dairy-cattle-development-incentive,state,eq,Andhra Pradesh,Citizen state must be eq 'Andhra Pradesh'
175,andhra-pradesh-phase-2-dairy-cattle-development-incentive,occupation,eq,Farmer,Citizen occupation must be eq 'Farmer'
176,andhra-pradesh-phase-2-dairy-cattle-development-incentive,annual_income,lte,300000,Citizen annual_income must be lte '300000'
177,andhra-pradesh-phase-2-fodder-cultivation-animal-care-grant,state,eq,Andhra Pradesh,Citizen state must be eq 'Andhra Pradesh'
178,andhra-pradesh-phase-2-fodder-cultivation-animal-care-grant,occupation,eq,Farmer,Citizen occupation must be eq 'Farmer'
179,andhra-pradesh-phase-2-fodder-cultivation-animal-care-grant,annual_income,lte,250000,Citizen annual_income must be lte '250000'
180,andhra-pradesh-phase-2-fisheries-pond-biofloc-support,state,eq,Andhra Pradesh,Citizen state must be eq 'Andhra Pradesh'
181,andhra-pradesh-phase-2-fisheries-pond-biofloc-support,occupation,eq,Farmer,Citizen occupation must be eq 'Farmer'
182,andhra-pradesh-phase-2-fisheries-pond-biofloc-support,annual_income,lte,400000,Citizen annual_income must be lte '400000'
183,andhra-pradesh-phase-2-soil-health-organic-farming-mission,state,eq,Andhra Pradesh,Citizen state must be eq 'Andhra Pradesh'
184,andhra-pradesh-phase-2-soil-health-organic-farming-mission,occupation,eq,Farmer,Citizen occupation must be eq 'Farmer'
185,andhra-pradesh-phase-2-soil-health-organic-farming-mission,annual_income,lte,300000,Citizen annual_income must be lte '300000'
186,andhra-pradesh-phase-2-farm-mechanization-rotavator-subsidy,state,eq,Andhra Pradesh,Citizen state must be eq 'Andhra Pradesh'
187,andhra-pradesh-phase-2-farm-mechanization-rotavator-subsidy,occupation,eq,Farmer,Citizen occupation must be eq 'Farmer'
188,andhra-pradesh-phase-2-farm-mechanization-rotavator-subsidy,annual_income,lte,500000,Citizen annual_income must be lte '500000'
189,andhra-pradesh-phase-2-post-matric-merit-scholarship,state,eq,Andhra Pradesh,Citizen state must be eq 'Andhra Pradesh'
190,andhra-pradesh-phase-2-post-matric-merit-scholarship,occupation,eq,Student,Citizen occupation must be eq 'Student'
191,andhra-pradesh-phase-2-post-matric-merit-scholarship,annual_income,lte,250000,Citizen annual_income must be lte '250000'
192,andhra-pradesh-phase-2-free-digital-tablet-laptop-distribution,state,eq,Andhra Pradesh,Citizen state must be eq 'Andhra Pradesh'
193,andhra-pradesh-phase-2-free-digital-tablet-laptop-distribution,occupation,eq,Student,Citizen occupation must be eq 'Student'
194,andhra-pradesh-phase-2-free-digital-tablet-laptop-distribution,annual_income,lte,400000,Citizen annual_income must be lte '400000'
195,andhra-pradesh-phase-2-competitive-exam-coaching-assistance,state,eq,Andhra Pradesh,Citizen state must be eq 'Andhra Pradesh'
196,andhra-pradesh-phase-2-competitive-exam-coaching-assistance,occupation,eq,Student,Citizen occupation must be eq 'Student'
197,andhra-pradesh-phase-2-competitive-exam-coaching-assistance,annual_income,lte,500000,Citizen annual_income must be lte '500000'
198,andhra-pradesh-phase-2-girl-child-higher-education-incentive,state,eq,Andhra Pradesh,Citizen state must be eq 'Andhra Pradesh'
199,andhra-pradesh-phase-2-girl-child-higher-education-incentive,occupation,eq,Student,Citizen occupation must be eq 'Student'
200,andhra-pradesh-phase-2-girl-child-higher-education-incentive,gender,eq,Female,Citizen gender must be eq 'Female'
201,andhra-pradesh-phase-2-technical-polytechnic-skill-stipend,state,eq,Andhra Pradesh,Citizen state must be eq 'Andhra Pradesh'
202,andhra-pradesh-phase-2-technical-polytechnic-skill-stipend,occupation,eq,Student,Citizen occupation must be eq 'Student'
203,andhra-pradesh-phase-2-technical-polytechnic-skill-stipend,annual_income,lte,300000,Citizen annual_income must be lte '300000'
204,andhra-pradesh-phase-2-overseas-education-scholarship-for-ews,state,eq,Andhra Pradesh,Citizen state must be eq 'Andhra Pradesh'
205,andhra-pradesh-phase-2-overseas-education-scholarship-for-ews,occupation,eq,Student,Citizen occupation must be eq 'Student'
206,andhra-pradesh-phase-2-overseas-education-scholarship-for-ews,annual_income,lte,800000,Citizen annual_income must be lte '800000'
207,andhra-pradesh-phase-2-special-education-aid-for-divyang-students,state,eq,Andhra Pradesh,Citizen state must be eq 'Andhra Pradesh'
208,andhra-pradesh-phase-2-special-education-aid-for-divyang-students,occupation,eq,Student,Citizen occupation must be eq 'Student'
209,andhra-pradesh-phase-2-special-education-aid-for-divyang-students,annual_income,lte,350000,Citizen annual_income must be lte '350000'
210,andhra-pradesh-phase-2-matru-kalyan-nutrition-dbt,state,eq,Andhra Pradesh,Citizen state must be eq 'Andhra Pradesh'
211,andhra-pradesh-phase-2-matru-kalyan-nutrition-dbt,gender,eq,Female,Citizen gender must be eq 'Female'
212,andhra-pradesh-phase-2-mahila-swavalamban-livelihood-grant,state,eq,Andhra Pradesh,Citizen state must be eq 'Andhra Pradesh'
213,andhra-pradesh-phase-2-mahila-swavalamban-livelihood-grant,gender,eq,Female,Citizen gender must be eq 'Female'
214,andhra-pradesh-phase-2-kanya-vivah-marriage-assistance,state,eq,Andhra Pradesh,Citizen state must be eq 'Andhra Pradesh'
215,andhra-pradesh-phase-2-kanya-vivah-marriage-assistance,gender,eq,Female,Citizen gender must be eq 'Female'
216,andhra-pradesh-phase-2-working-women-hostel-transport-subsidy,state,eq,Andhra Pradesh,Citizen state must be eq 'Andhra Pradesh'
217,andhra-pradesh-phase-2-working-women-hostel-transport-subsidy,gender,eq,Female,Citizen gender must be eq 'Female'
218,andhra-pradesh-phase-2-single-mother-destitute-women-pension,state,eq,Andhra Pradesh,Citizen state must be eq 'Andhra Pradesh'
219,andhra-pradesh-phase-2-single-mother-destitute-women-pension,gender,eq,Female,Citizen gender must be eq 'Female'
220,andhra-pradesh-phase-2-sukanya-samriddhi-high-interest-top-up,state,eq,Andhra Pradesh,Citizen state must be eq 'Andhra Pradesh'
221,andhra-pradesh-phase-2-sukanya-samriddhi-high-interest-top-up,gender,eq,Female,Citizen gender must be eq 'Female'
222,andhra-pradesh-phase-2-universal-cashless-health-insurance,state,eq,Andhra Pradesh,Citizen state must be eq 'Andhra Pradesh'
223,andhra-pradesh-phase-2-universal-cashless-health-insurance,annual_income,lte,500000,Citizen annual_income must be lte '500000'
224,andhra-pradesh-phase-2-critical-illness-relief-fund-cancer-kidney,state,eq,Andhra Pradesh,Citizen state must be eq 'Andhra Pradesh'
225,andhra-pradesh-phase-2-critical-illness-relief-fund-cancer-kidney,annual_income,lte,300000,Citizen annual_income must be lte '300000'
226,andhra-pradesh-phase-2-free-diagnostic-tests-medicine-scheme,state,eq,Andhra Pradesh,Citizen state must be eq 'Andhra Pradesh'
227,andhra-pradesh-phase-2-free-diagnostic-tests-medicine-scheme,annual_income,lte,400000,Citizen annual_income must be lte '400000'
228,andhra-pradesh-phase-2-senior-citizen-specialized-geriatric-care,state,eq,Andhra Pradesh,Citizen state must be eq 'Andhra Pradesh'
229,andhra-pradesh-phase-2-senior-citizen-specialized-geriatric-care,age,gte,60,Citizen age must be gte '60'
230,andhra-pradesh-phase-2-emergency-accidental-trauma-insurance,state,eq,Andhra Pradesh,Citizen state must be eq 'Andhra Pradesh'
231,andhra-pradesh-phase-2-emergency-accidental-trauma-insurance,annual_income,lte,600000,Citizen annual_income must be lte '600000'
232,andhra-pradesh-phase-2-old-age-social-security-pension,state,eq,Andhra Pradesh,Citizen state must be eq 'Andhra Pradesh'
233,andhra-pradesh-phase-2-old-age-social-security-pension,age,gte,60,Citizen age must be gte '60'
234,andhra-pradesh-phase-2-divyangjan-disability-monthly-pension,state,eq,Andhra Pradesh,Citizen state must be eq 'Andhra Pradesh'
235,andhra-pradesh-phase-2-divyangjan-disability-monthly-pension,annual_income,lte,250000,Citizen annual_income must be lte '250000'
236,andhra-pradesh-phase-2-antyodaya-subsidized-food-security,state,eq,Andhra Pradesh,Citizen state must be eq 'Andhra Pradesh'
237,andhra-pradesh-phase-2-antyodaya-subsidized-food-security,annual_income,lte,100000,Citizen annual_income must be lte '100000'
238,andhra-pradesh-phase-2-sanitation-workers-rehabilitation-grant,state,eq,Andhra Pradesh,Citizen state must be eq 'Andhra Pradesh'
