slug,name,level,schemes_count
department-of-agriculture-farmers-welfare-madhya-pradesh,"Department of Agriculture & Farmers Welfare, Madhya Pradesh",state,24
department-of-agriculture-farmers-welfare-maharashtra,"Department of Agriculture & Farmers Welfare, Maharashtra",state,32
department-of-agriculture-farmers-welfare-manipur,"Department of Agriculture & Farmers Welfare, Manipur",state,16
department-of-agriculture-farmers-welfare-meghalaya,"Department of Agriculture & Farmers Welfare, Meghalaya",state,16
department-of-agriculture-farmers-welfare-mizoram,"Department of Agriculture & Farmers Welfare, Mizoram",state,11
department-of-agriculture-farmers-welfare-nagaland,"Department of Agriculture & Farmers Welfare, Nagaland",state,11
department-of-agriculture-farmers-welfare-odisha,"Department of Agriculture & Farmers Welfare, Odisha",state,24
department-of-agriculture-farmers-welfare-puducherry,"Department of Agriculture & Farmers Welfare, Puducherry",state,8
department-of-agriculture-farmers-welfare-punjab,"Department of Agriculture & Farmers Welfare, Punjab",state,24
department-of-agriculture-farmers-welfare-rajasthan,"Department of Agriculture & Farmers Welfare, Rajasthan",state,24
department-of-agriculture-farmers-welfare-sikkim,"Department of Agriculture & Farmers Welfare, Sikkim",state,11
department-of-agriculture-farmers-welfare-tamil-nadu,"Department of Agriculture & Farmers Welfare, Tamil Nadu",state,32
department-of-agriculture-farmers-welfare-telangana,"Department of Agriculture & Farmers Welfare, Telangana",state,24
department-of-agriculture-farmers-welfare-tripura,"Department of Agriculture & Farmers Welfare, Tripura",state,16
department-of-agriculture-farmers-welfare-uttar-pradesh,"Department of Agriculture & Farmers Welfare, Uttar Pradesh",state,32
department-of-agriculture-farmers-welfare-uttarakhand,"Department of Agriculture & Farmers Welfare, Uttarakhand",state,16
department-of-agriculture-farmers-welfare-west-bengal,"Department of Agriculture & Farmers Welfare, West Bengal",state,24
department-of-agriculture-government-of-maharashtra,"Department of Agriculture, Government of Maharashtra",state,1
department-of-environment-forests-climate-andhra-pradesh,"Department of Environment, Forests & Climate, Andhra Pradesh",state,6
department-of-environment-forests-climate-arunachal-pradesh,"Department of Environment, Forests & Climate, Arunachal Pradesh",state,3
department-of-environment-forests-climate-assam,"Department of Environment, Forests & Climate, Assam",state,6
department-of-environment-forests-climate-bihar,"Department of Environment, Forests & Climate, Bihar",state,8
department-of-environment-forests-climate-chhattisgarh,"Department of Environment, Forests & Climate, Chhattisgarh",state,6
department-of-environment-forests-climate-delhi,"Department of Environment, Forests & Climate, Delhi",state,6
department-of-environment-forests-climate-goa,"Department of Environment, Forests & Climate, Goa",state,3
department-of-environment-forests-climate-gujarat,"Department of Environment, Forests & Climate, Gujarat",state,8
department-of-environment-forests-climate-haryana,"Department of Environment, Forests & Climate, Haryana",state,6
department-of-environment-forests-climate-himachal-pradesh,"Department of Environment, Forests & Climate, Himachal Pradesh",state,3
department-of-environment-forests-climate-jammu-and-kashmir,"Department of Environment, Forests & Climate, Jammu and Kashmir",state,3
department-of-environment-forests-climate-jharkhand,"Department of Environment, Forests & Climate, Jharkhand",state,6
department-of-environment-forests-climate-karnataka,"Department of Environment, Forests & Climate, Karnataka",state,8
department-of-environment-forests-climate-kerala,"Department of Environment, Forests & Climate, Kerala",state,6
department-of-environment-forests-climate-madhya-pradesh,"Department of Environment, Forests & Climate, Madhya Pradesh",state,8
department-of-environment-forests-climate-maharashtra,"Department of Environment, Forests & Climate, Maharashtra",state,9
department-of-environment-forests-climate-manipur,"Department of Environment, Forests & Climate, Manipur",state,3
department-of-environment-forests-climate-meghalaya,"Department of Environment, Forests & Climate, Meghalaya",state,3
department-of-environment-forests-climate-mizoram,"Department of Environment, Forests & Climate, Mizoram",state,3
department-of-environment-forests-climate-nagaland,"Department of Environment, Forests & Climate, Nagaland",state,3
department-of-environment-forests-climate-odisha,"Department of Environment, Forests & Climate, Odisha",state,6
department-of-environment-forests-climate-puducherry,"Department of Environment, Forests & Climate, Puducherry",state,1
department-of-environment-forests-climate-punjab,"Department of Environment, Forests & Climate, Punjab",state,6
department-of-environment-forests-climate-rajasthan,"Department of Environment, Forests & Climate, Rajasthan",state,8
department-of-environment-forests-climate-sikkim,"Department of Environment, Forests & Climate, Sikkim",state,3
department-of-environment-forests-climate-tamil-nadu,"Department of Environment, Forests & Climate, Tamil Nadu",state,9
department-of-environment-forests-climate-telangana,"Department of Environment, Forests & Climate, Telangana",state,6
department-of-environment-forests-climate-tripura,"Department of Environment, Forests & Climate, Tripura",state,3
department-of-environment-forests-climate-uttar-pradesh,"Department of Environment, Forests & Climate, Uttar Pradesh",state,9
department-of-environment-forests-climate-uttarakhand,"Department of Environment, Forests & Climate, Uttarakhand",state,3
department-of-environment-forests-climate-west-bengal,"Department of Environment, Forests & Climate, West Bengal",state,8
department-of-health-family-welfare-andaman-and-nicobar-islands,"Department of Health & Family Welfare, Andaman and Nicobar Islands",state,5
department-of-health-family-welfare-andhra-pradesh,"Department of Health & Family Welfare, Andhra Pradesh",state,15
department-of-health-family-welfare-arunachal-pradesh,"Department of Health & Family Welfare, Arunachal Pradesh",state,5
department-of-health-family-welfare-assam,"Department of Health & Family Welfare, Assam",state,10
department-of-health-family-welfare-bihar,"Department of Health & Family Welfare, Bihar",state,15
department-of-health-family-welfare-chandigarh,"Department of Health & Family Welfare, Chandigarh",state,5
department-of-health-family-welfare-chhattisgarh,"Department of Health & Family Welfare, Chhattisgarh",state,10
department-of-health-family-welfare-dadra-and-nagar-haveli-and-daman-and-diu,"Department of Health & Family Welfare, Dadra and Nagar Haveli and Daman and Diu",state,5
department-of-health-family-welfare-delhi,"Department of Health & Family Welfare, Delhi",state,10
department-of-health-family-welfare-goa,"Department of Health & Family Welfare, Goa",state,5
department-of-health-family-welfare-gujarat,"Department of Health & Family Welfare, Gujarat",state,15
department-of-health-family-welfare-haryana,"Department of Health & Family Welfare, Haryana",state,10
department-of-health-family-welfare-himachal-pradesh,"Department of Health & Family Welfare, Himachal Pradesh",state,10
department-of-health-family-welfare-jammu-and-kashmir,"Department of Health & Family Welfare, Jammu and Kashmir",state,10
department-of-health-family-welfare-jharkhand,"Department of Health & Family Welfare, Jharkhand",state,10
department-of-health-family-welfare-karnataka,"Department of Health & Family Welfare, Karnataka",state,15
department-of-health-family-welfare-kerala,"Department of Health & Family Welfare, Kerala",state,15
department-of-health-family-welfare-ladakh,"Department of Health & Family Welfare, Ladakh",state,5
department-of-health-family-welfare-lakshadweep,"Department of Health & Family Welfare, Lakshadweep",state,5
department-of-health-family-welfare-madhya-pradesh,"Department of Health & Family Welfare, Madhya Pradesh",state,15
department-of-health-family-welfare-maharashtra,"Department of Health & Family Welfare, Maharashtra",state,15
department-of-health-family-welfare-manipur,"Department of Health & Family Welfare, Manipur",state,5
department-of-health-family-welfare-meghalaya,"Department of Health & Family Welfare, Meghalaya",state,5
department-of-health-family-welfare-mizoram,"Department of Health & Family Welfare, Mizoram",state,5
department-of-health-family-welfare-nagaland,"Department of Health & Family Welfare, Nagaland",state,5
department-of-health-family-welfare-odisha,"Department of Health & Family Welfare, Odisha",state,15
department-of-health-family-welfare-puducherry,"Department of Health & Family Welfare, Puducherry",state,5
department-of-health-family-welfare-punjab,"Department of Health & Family Welfare, Punjab",state,10
department-of-health-family-welfare-rajasthan,"Department of Health & Family Welfare, Rajasthan",state,15
department-of-health-family-welfare-sikkim,"Department of Health & Family Welfare, Sikkim",state,5
department-of-health-family-welfare-tamil-nadu,"Department of Health & Family Welfare, Tamil Nadu",state,15
department-of-health-family-welfare-telangana,"Department of Health & Family Welfare, Telangana",state,15
department-of-health-family-welfare-tripura,"Department of Health & Family Welfare, Tripura",state,5
department-of-health-family-welfare-uttar-pradesh,"Department of Health & Family Welfare, Uttar Pradesh",state,20
department-of-health-family-welfare-uttarakhand,"Department of Health & Family Welfare, Uttarakhand",state,10
department-of-health-family-welfare-west-bengal,"Department of Health & Family Welfare, West Bengal",state,15
department-of-higher-school-education-andaman-and-nicobar-islands,"Department of Higher & School Education, Andaman and Nicobar Islands",state,7
department-of-higher-school-education-andhra-pradesh,"Department of Higher & School Education, Andhra Pradesh",state,21
department-of-higher-school-education-arunachal-pradesh,"Department of Higher & School Education, Arunachal Pradesh",state,12
department-of-higher-school-education-assam,"Department of Higher & School Education, Assam",state,14
department-of-higher-school-education-bihar,"Department of Higher & School Education, Bihar",state,21
department-of-higher-school-education-chandigarh,"Department of Higher & School Education, Chandigarh",state,7
department-of-higher-school-education-chhattisgarh,"Department of Higher & School Education, Chhattisgarh",state,14
department-of-higher-school-education-dadra-and-nagar-haveli-and-daman-and-diu,"Department of Higher & School Education, Dadra and Nagar Haveli and Daman and Diu",state,7
department-of-higher-school-education-delhi,"Department of Higher & School Education, Delhi",state,14
department-of-higher-school-education-goa,"Department of Higher & School Education, Goa",state,7
department-of-higher-school-education-gujarat,"Department of Higher & School Education, Gujarat",state,21
department-of-higher-school-education-haryana,"Department of Higher & School Education, Haryana",state,21
department-of-higher-school-education-himachal-pradesh,"Department of Higher & School Education, Himachal Pradesh",state,14
department-of-higher-school-education-jammu-and-kashmir,"Department of Higher & School Education, Jammu and Kashmir",state,14
department-of-higher-school-education-jharkhand,"Department of Higher & School Education, Jharkhand",state,14
department-of-higher-school-education-karnataka,"Department of Higher & School Education, Karnataka",state,21
department-of-higher-school-education-kerala,"Department of Higher & School Education, Kerala",state,21
department-of-higher-school-education-ladakh,"Department of Higher & School Education, Ladakh",state,7
department-of-higher-school-education-lakshadweep,"Department of Higher & School Education, Lakshadweep",state,7
department-of-higher-school-education-madhya-pradesh,"Department of Higher & School Education, Madhya Pradesh",state,21
department-of-higher-school-education-maharashtra,"Department of Higher & School Education, Maharashtra",state,28
department-of-higher-school-education-manipur,"Department of Higher & School Education, Manipur",state,12
department-of-higher-school-education-meghalaya,"Department of Higher & School Education, Meghalaya",state,12
department-of-higher-school-education-mizoram,"Department of Higher & School Education, Mizoram",state,7
department-of-higher-school-education-nagaland,"Department of Higher & School Education, Nagaland",state,7
department-of-higher-school-education-odisha,"Department of Higher & School Education, Odisha",state,21
department-of-higher-school-education-puducherry,"Department of Higher & School Education, Puducherry",state,7
department-of-higher-school-education-punjab,"Department of Higher & School Education, Punjab",state,21
department-of-higher-school-education-rajasthan,"Department of Higher & School Education, Rajasthan",state,21
department-of-higher-school-education-sikkim,"Department of Higher & School Education, Sikkim",state,7
department-of-higher-school-education-tamil-nadu,"Department of Higher & School Education, Tamil Nadu",state,22
department-of-higher-school-education-telangana,"Department of Higher & School Education, Telangana",state,21
department-of-higher-school-education-tripura,"Department of Higher & School Education, Tripura",state,12
department-of-higher-school-education-uttar-pradesh,"Department of Higher & School Education, Uttar Pradesh",state,28
department-of-higher-school-education-uttarakhand,"Department of Higher & School Education, Uttarakhand",state,14
department-of-higher-school-education-west-bengal,"Department of Higher & School Education, West Bengal",state,21
department-of-housing-urban-development-andhra-pradesh,"Department of Housing & Urban Development, Andhra Pradesh",state,8
department-of-housing-urban-development-arunachal-pradesh,"Department of Housing & Urban Development, Arunachal Pradesh",state,4
department-of-housing-urban-development-assam,"Department of Housing & Urban Development, Assam",state,8
department-of-housing-urban-development-bihar,"Department of Housing & Urban Development, Bihar",state,12
department-of-housing-urban-development-chhattisgarh,"Department of Housing & Urban Development, Chhattisgarh",state,8
department-of-housing-urban-development-delhi,"Department of Housing & Urban Development, Delhi",state,8
department-of-housing-urban-development-goa,"Department of Housing & Urban Development, Goa",state,4
department-of-housing-urban-development-gujarat,"Department of Housing & Urban Development, Gujarat",state,12
department-of-housing-urban-development-haryana,"Department of Housing & Urban Development, Haryana",state,8
department-of-housing-urban-development-himachal-pradesh,"Department of Housing & Urban Development, Himachal Pradesh",state,4
department-of-housing-urban-development-jammu-and-kashmir,"Department of Housing & Urban Development, Jammu and Kashmir",state,6
department-of-housing-urban-development-jharkhand,"Department of Housing & Urban Development, Jharkhand",state,8
department-of-housing-urban-development-karnataka,"Department of Housing & Urban Development, Karnataka",state,12
department-of-housing-urban-development-kerala,"Department of Housing & Urban Development, Kerala",state,8
department-of-housing-urban-development-madhya-pradesh,"Department of Housing & Urban Development, Madhya Pradesh",state,12
department-of-housing-urban-development-maharashtra,"Department of Housing & Urban Development, Maharashtra",state,12
department-of-housing-urban-development-manipur,"Department of Housing & Urban Development, Manipur",state,4
department-of-housing-urban-development-meghalaya,"Department of Housing & Urban Development, Meghalaya",state,4
department-of-housing-urban-development-mizoram,"Department of Housing & Urban Development, Mizoram",state,4
department-of-housing-urban-development-nagaland,"Department of Housing & Urban Development, Nagaland",state,4
department-of-housing-urban-development-odisha,"Department of Housing & Urban Development, Odisha",state,8
department-of-housing-urban-development-puducherry,"Department of Housing & Urban Development, Puducherry",state,4
department-of-housing-urban-development-punjab,"Department of Housing & Urban Development, Punjab",state,8
department-of-housing-urban-development-rajasthan,"Department of Housing & Urban Development, Rajasthan",state,12
department-of-housing-urban-development-sikkim,"Department of Housing & Urban Development, Sikkim",state,4
department-of-housing-urban-development-tamil-nadu,"Department of Housing & Urban Development, Tamil Nadu",state,12
department-of-housing-urban-development-telangana,"Department of Housing & Urban Development, Telangana",state,8
department-of-housing-urban-development-tripura,"Department of Housing & Urban Development, Tripura",state,4
department-of-housing-urban-development-uttar-pradesh,"Department of Housing & Urban Development, Uttar Pradesh",state,15
department-of-housing-urban-development-uttarakhand,"Department of Housing & Urban Development, Uttarakhand",state,6
department-of-housing-urban-development-west-bengal,"Department of Housing & Urban Development, West Bengal",state,12
department-of-msme-industries-andhra-pradesh,"Department of MSME & Industries, Andhra Pradesh",state,8
department-of-msme-industries-arunachal-pradesh,"Department of MSME & Industries, Arunachal Pradesh",state,4
department-of-msme-industries-assam,"Department of MSME & Industries, Assam",state,8
department-of-msme-industries-bihar,"Department of MSME & Industries, Bihar",state,12
department-of-msme-industries-chhattisgarh,"Department of MSME & Industries, Chhattisgarh",state,8
department-of-msme-industries-delhi,"Department of MSME & Industries, Delhi",state,8
department-of-msme-industries-goa,"Department of MSME & Industries, Goa",state,4
department-of-msme-industries-gujarat,"Department of MSME & Industries, Gujarat",state,12
department-of-msme-industries-haryana,"Department of MSME & Industries, Haryana",state,8
department-of-msme-industries-himachal-pradesh,"Department of MSME & Industries, Himachal Pradesh",state,4
department-of-msme-industries-jammu-and-kashmir,"Department of MSME & Industries, Jammu and Kashmir",state,4
department-of-msme-industries-jharkhand,"Department of MSME & Industries, Jharkhand",state,8
department-of-msme-industries-karnataka,"Department of MSME & Industries, Karnataka",state,12
department-of-msme-industries-kerala,"Department of MSME & Industries, Kerala",state,8
department-of-msme-industries-madhya-pradesh,"Department of MSME & Industries, Madhya Pradesh",state,12
department-of-msme-industries-maharashtra,"Department of MSME & Industries, Maharashtra",state,12
department-of-msme-industries-manipur,"Department of MSME & Industries, Manipur",state,4
department-of-msme-industries-meghalaya,"Department of MSME & Industries, Meghalaya",state,4
department-of-msme-industries-mizoram,"Department of MSME & Industries, Mizoram",state,4
department-of-msme-industries-nagaland,"Department of MSME & Industries, Nagaland",state,4
department-of-msme-industries-odisha,"Department of MSME & Industries, Odisha",state,8
department-of-msme-industries-puducherry,"Department of MSME & Industries, Puducherry",state,4
department-of-msme-industries-punjab,"Department of MSME & Industries, Punjab",state,8
department-of-msme-industries-rajasthan,"Department of MSME & Industries, Rajasthan",state,12
department-of-msme-industries-sikkim,"Department of MSME & Industries, Sikkim",state,4
department-of-msme-industries-tamil-nadu,"Department of MSME & Industries, Tamil Nadu",state,12
department-of-msme-industries-telangana,"Department of MSME & Industries, Telangana",state,8
department-of-msme-industries-tripura,"Department of MSME & Industries, Tripura",state,4
department-of-msme-industries-uttar-pradesh,"Department of MSME & Industries, Uttar Pradesh",state,12
department-of-msme-industries-uttarakhand,"Department of MSME & Industries, Uttarakhand",state,4
department-of-msme-industries-west-bengal,"Department of MSME & Industries, West Bengal",state,12
department-of-revenue-government-of-madhya-pradesh,"Department of Revenue, Government of Madhya Pradesh",state,1
department-of-skill-development-employment-andaman-and-nicobar-islands,"Department of Skill Development & Employment, Andaman and Nicobar Islands",state,4
department-of-skill-development-employment-andhra-pradesh,"Department of Skill Development & Employment, Andhra Pradesh",state,10
department-of-skill-development-employment-arunachal-pradesh,"Department of Skill Development & Employment, Arunachal Pradesh",state,5
department-of-skill-development-employment-assam,"Department of Skill Development & Employment, Assam",state,10
department-of-skill-development-employment-bihar,"Department of Skill Development & Employment, Bihar",state,15
department-of-skill-development-employment-chandigarh,"Department of Skill Development & Employment, Chandigarh",state,4
department-of-skill-development-employment-chhattisgarh,"Department of Skill Development & Employment, Chhattisgarh",state,10
department-of-skill-development-employment-dadra-and-nagar-haveli-and-daman-and-diu,"Department of Skill Development & Employment, Dadra and Nagar Haveli and Daman and Diu",state,4
department-of-skill-development-employment-delhi,"Department of Skill Development & Employment, Delhi",state,10
department-of-skill-development-employment-goa,"Department of Skill Development & Employment, Goa",state,5
department-of-skill-development-employment-gujarat,"Department of Skill Development & Employment, Gujarat",state,15
department-of-skill-development-employment-haryana,"Department of Skill Development & Employment, Haryana",state,10
department-of-skill-development-employment-himachal-pradesh,"Department of Skill Development & Employment, Himachal Pradesh",state,5
department-of-skill-development-employment-jammu-and-kashmir,"Department of Skill Development & Employment, Jammu and Kashmir",state,10
department-of-skill-development-employment-jharkhand,"Department of Skill Development & Employment, Jharkhand",state,10
department-of-skill-development-employment-karnataka,"Department of Skill Development & Employment, Karnataka",state,15
department-of-skill-development-employment-kerala,"Department of Skill Development & Employment, Kerala",state,15
department-of-skill-development-employment-ladakh,"Department of Skill Development & Employment, Ladakh",state,4
department-of-skill-development-employment-madhya-pradesh,"Department of Skill Development & Employment, Madhya Pradesh",state,15
department-of-skill-development-employment-maharashtra,"Department of Skill Development & Employment, Maharashtra",state,15
department-of-skill-development-employment-manipur,"Department of Skill Development & Employment, Manipur",state,5
department-of-skill-development-employment-meghalaya,"Department of Skill Development & Employment, Meghalaya",state,5
department-of-skill-development-employment-mizoram,"Department of Skill Development & Employment, Mizoram",state,5
department-of-skill-development-employment-nagaland,"Department of Skill Development & Employment, Nagaland",state,5
department-of-skill-development-employment-odisha,"Department of Skill Development & Employment, Odisha",state,10
department-of-skill-development-employment-puducherry,"Department of Skill Development & Employment, Puducherry",state,5
department-of-skill-development-employment-punjab,"Department of Skill Development & Employment, Punjab",state,10
department-of-skill-development-employment-rajasthan,"Department of Skill Development & Employment, Rajasthan",state,15
department-of-skill-development-employment-sikkim,"Department of Skill Development & Employment, Sikkim",state,5
department-of-skill-development-employment-tamil-nadu,"Department of Skill Development & Employment, Tamil Nadu",state,15
department-of-skill-development-employment-telangana,"Department of Skill Development & Employment, Telangana",state,10
department-of-skill-development-employment-tripura,"Department of Skill Development & Employment, Tripura",state,5
department-of-skill-development-employment-uttar-pradesh,"Department of Skill Development & Employment, Uttar Pradesh",state,20
department-of-skill-development-employment-uttarakhand,"Department of Skill Development & Employment, Uttarakhand",state,10
department-of-skill-development-employment-west-bengal,"Department of Skill Development & Employment, West Bengal",state,15
department-of-skill-development-entrepreneurship-and-livelihood-government-of-karnataka,"Department of Skill Development, Entrepreneurship and Livelihood, Government of Karnataka",state,1
department-of-social-justice-empowerment-andaman-and-nicobar-islands,"Department of Social Justice & Empowerment, Andaman and Nicobar Islands",state,5
department-of-social-justice-empowerment-andhra-pradesh,"Department of Social Justice & Empowerment, Andhra Pradesh",state,10
department-of-social-justice-empowerment-arunachal-pradesh,"Department of Social Justice & Empowerment, Arunachal Pradesh",state,5
department-of-social-justice-empowerment-assam,"Department of Social Justice & Empowerment, Assam",state,10
department-of-social-justice-empowerment-bihar,"Department of Social Justice & Empowerment, Bihar",state,15
department-of-social-justice-empowerment-chandigarh,"Department of Social Justice & Empowerment, Chandigarh",state,5
department-of-social-justice-empowerment-chhattisgarh,"Department of Social Justice & Empowerment, Chhattisgarh",state,10
department-of-social-justice-empowerment-dadra-and-nagar-haveli-and-daman-and-diu,"Department of Social Justice & Empowerment, Dadra and Nagar Haveli and Daman and Diu",state,5
department-of-social-justice-empowerment-delhi,"Department of Social Justice & Empowerment, Delhi",state,10
department-of-social-justice-empowerment-goa,"Department of Social Justice & Empowerment, Goa",state,5
department-of-social-justice-empowerment-gujarat,"Department of Social Justice & Empowerment, Gujarat",state,15
department-of-social-justice-empowerment-haryana,"Department of Social Justice & Empowerment, Haryana",state,10
department-of-social-justice-empowerment-himachal-pradesh,"Department of Social Justice & Empowerment, Himachal Pradesh",state,7
department-of-social-justice-empowerment-jammu-and-kashmir,"Department of Social Justice & Empowerment, Jammu and Kashmir",state,10
department-of-social-justice-empowerment-jharkhand,"Department of Social Justice & Empowerment, Jharkhand",state,10
department-of-social-justice-empowerment-karnataka,"Department of Social Justice & Empowerment, Karnataka",state,15
department-of-social-justice-empowerment-kerala,"Department of Social Justice & Empowerment, Kerala",state,15
department-of-social-justice-empowerment-ladakh,"Department of Social Justice & Empowerment, Ladakh",state,5
department-of-social-justice-empowerment-lakshadweep,"Department of Social Justice & Empowerment, Lakshadweep",state,4
department-of-social-justice-empowerment-madhya-pradesh,"Department of Social Justice & Empowerment, Madhya Pradesh",state,15
department-of-social-justice-empowerment-maharashtra,"Department of Social Justice & Empowerment, Maharashtra",state,15
department-of-social-justice-empowerment-manipur,"Department of Social Justice & Empowerment, Manipur",state,5
department-of-social-justice-empowerment-meghalaya,"Department of Social Justice & Empowerment, Meghalaya",state,5
department-of-social-justice-empowerment-mizoram,"Department of Social Justice & Empowerment, Mizoram",state,5
department-of-social-justice-empowerment-nagaland,"Department of Social Justice & Empowerment, Nagaland",state,5
department-of-social-justice-empowerment-odisha,"Department of Social Justice & Empowerment, Odisha",state,10
department-of-social-justice-empowerment-puducherry,"Department of Social Justice & Empowerment, Puducherry",state,5
department-of-social-justice-empowerment-punjab,"Department of Social Justice & Empowerment, Punjab",state,10
department-of-social-justice-empowerment-rajasthan,"Department of Social Justice & Empowerment, Rajasthan",state,15
department-of-social-justice-empowerment-sikkim,"Department of Social Justice & Empowerment, Sikkim",state,5
department-of-social-justice-empowerment-tamil-nadu,"Department of Social Justice & Empowerment, Tamil Nadu",state,15
department-of-social-justice-empowerment-telangana,"Department of Social Justice & Empowerment, Telangana",state,10
department-of-social-justice-empowerment-tripura,"Department of Social Justice & Empowerment, Tripura",state,5
department-of-social-justice-empowerment-uttar-pradesh,"Department of Social Justice & Empowerment, Uttar Pradesh",state,20
department-of-social-justice-empowerment-uttarakhand,"Department of Social Justice & Empowerment, Uttarakhand",state,10
department-of-social-justice-empowerment-west-bengal,"Department of Social Justice & Empowerment, West Bengal",state,15
department-of-technical-education-and-skill-development-government-of-madhya-pradesh,"Department of Technical Education and Skill Development, Government of Madhya Pradesh",state,1
department-of-women-and-child-development-government-of-karnataka,"Department of Women and Child Development, Government of Karnataka",state,1
department-of-women-and-child-development-government-of-madhya-pradesh,"Department of Women and Child Development, Government of Madhya Pradesh",state,1
department-of-women-and-child-development-government-of-maharashtra,"Department of Women and Child Development, Government of Maharashtra",state,1
department-of-women-child-development-andaman-and-nicobar-islands,"Department of Women & Child Development, Andaman and Nicobar Islands",state,6
department-of-women-child-development-andhra-pradesh,"Department of Women & Child Development, Andhra Pradesh",state,18
department-of-women-child-development-arunachal-pradesh,"Department of Women & Child Development, Arunachal Pradesh",state,6
department-of-women-child-development-assam,"Department of Women & Child Development, Assam",state,12
department-of-women-child-development-bihar,"Department of Women & Child Development, Bihar",state,18
department-of-women-child-development-chandigarh,"Department of Women & Child Development, Chandigarh",state,6
department-of-women-child-development-chhattisgarh,"Department of Women & Child Development, Chhattisgarh",state,12
department-of-women-child-development-dadra-and-nagar-haveli-and-daman-and-diu,"Department of Women & Child Development, Dadra and Nagar Haveli and Daman and Diu",state,6
department-of-women-child-development-delhi,"Department of Women & Child Development, Delhi",state,12
department-of-women-child-development-goa,"Department of Women & Child Development, Goa",state,6
department-of-women-child-development-gujarat,"Department of Women & Child Development, Gujarat",state,18
department-of-women-child-development-haryana,"Department of Women & Child Development, Haryana",state,13
department-of-women-child-development-himachal-pradesh,"Department of Women & Child Development, Himachal Pradesh",state,12
department-of-women-child-development-jammu-and-kashmir,"Department of Women & Child Development, Jammu and Kashmir",state,12
department-of-women-child-development-jharkhand,"Department of Women & Child Development, Jharkhand",state,12
department-of-women-child-development-karnataka,"Department of Women & Child Development, Karnataka",state,18
department-of-women-child-development-kerala,"Department of Women & Child Development, Kerala",state,18
department-of-women-child-development-ladakh,"Department of Women & Child Development, Ladakh",state,6
department-of-women-child-development-lakshadweep,"Department of Women & Child Development, Lakshadweep",state,6
department-of-women-child-development-madhya-pradesh,"Department of Women & Child Development, Madhya Pradesh",state,18
department-of-women-child-development-maharashtra,"Department of Women & Child Development, Maharashtra",state,22
department-of-women-child-development-manipur,"Department of Women & Child Development, Manipur",state,6
department-of-women-child-development-meghalaya,"Department of Women & Child Development, Meghalaya",state,6
department-of-women-child-development-mizoram,"Department of Women & Child Development, Mizoram",state,6
department-of-women-child-development-nagaland,"Department of Women & Child Development, Nagaland",state,6
department-of-women-child-development-odisha,"Department of Women & Child Development, Odisha",state,18
department-of-women-child-development-puducherry,"Department of Women & Child Development, Puducherry",state,6
department-of-women-child-development-punjab,"Department of Women & Child Development, Punjab",state,13
department-of-women-child-development-rajasthan,"Department of Women & Child Development, Rajasthan",state,18
department-of-women-child-development-sikkim,"Department of Women & Child Development, Sikkim",state,6
department-of-women-child-development-tamil-nadu,"Department of Women & Child Development, Tamil Nadu",state,18
department-of-women-child-development-telangana,"Department of Women & Child Development, Telangana",state,18
department-of-women-child-development-tripura,"Department of Women & Child Development, Tripura",state,6
department-of-women-child-development-uttar-pradesh,"Department of Women & Child Development, Uttar Pradesh",state,24
